country,region,year,new.pul.TB,prev.treated.pul.TB,prev.unk.pul.TB,new.MDR,prev.MDR,MDR.tested,XDR
Democratic Republic of the Congo,AFR,2018,103881,5693,0,48,80,126,3
Denmark,EUR,2017,159,16,0,1,0,1,0
Denmark,EUR,2018,166,15,0,4,0,4,0
Djibouti,EMR,2017,939,133,0,0,,,
Djibouti,EMR,2018,951,96,0,0,3,3,3
Dominica,AMR,2017,1,0,0,0,0,0,0
Dominica,AMR,2018,1,1,0,0,0,0,0
Dominican Republic,AMR,2017,1888,316,0,27,20,43,0
Dominican Republic,AMR,2018,1908,301,0,33,14,43,0
Ecuador,AMR,2017,,,,,,,
Ecuador,AMR,2018,4323,277,,,,,
Egypt,EMR,2017,3417,385,0,4,90,30,0
Egypt,EMR,2018,3882,456,0,6,82,38,0
El Salvador,AMR,2017,2735,295,0,3,0,,
El Salvador,AMR,2018,2530,363,0,0,2,,
Equatorial Guinea,AFR,2017,784,92,17,,,0,0
Equatorial Guinea,AFR,2018,755,84,0,,,,
Eritrea,AFR,2017,698,104,0,,,,
Eritrea,AFR,2018,664,84,0,6,0,6,0
Estonia,EUR,2017,124,21,0,26,10,34,9
Estonia,EUR,2018,105,20,0,22,8,30,8
Eswatini,AFR,2017,2041,152,2,32,25,57,10
Eswatini,AFR,2018,1754,290,2,20,21,41,2
Ethiopia,AFR,2017,43113,3035,,,,,
Ethiopia,AFR,2018,45142,3118,,21,48,69,2
Fiji,WPR,2017,138,3,0,0,1,1,0
Fiji,WPR,2018,135,9,0,0,0,0,0
Finland,EUR,2017,139,4,4,4,1,5,1
Finland,EUR,2018,139,2,3,4,0,4,1
France,EUR,2017,1361,176,1133,,,79,10
France,EUR,2018,1264,177,1162,,,76,10
French Polynesia,WPR,2017,30,7,0,1,1,2,0
French Polynesia,WPR,2018,32,7,0,1,0,1,0
Gabon,AFR,2017,2068,431,0,0,0,,
Gabon,AFR,2018,2243,285,0,,,88,3
Gambia,AFR,2017,1312,117,0,0,4,0,0
Gambia,AFR,2018,,,,0,1,0,0
Georgia,EUR,2017,1466,595,0,129,133,246,44
Georgia,EUR,2018,1349,513,0,93,74,159,34
Germany,EUR,2017,77,156,3115,6,17,17,0
Germany,EUR,2018,2356,207,886,55,23,58,8
Ghana,AFR,2017,7924,862,2,12,37,0,0
Ghana,AFR,2018,7929,850,19,18,50,1,1
Greece,EUR,2017,280,38,18,6,1,7,2
Greece,EUR,2018,233,19,25,4,0,4,0
Greenland,EUR,2017,36,15,,,,,
Greenland,EUR,2018,29,5,0,,,,
Grenada,AMR,2017,2,1,0,0,0,0,0
Grenada,AMR,2018,1,0,0,0,0,0,0
Guam,WPR,2017,57,1,0,2,1,1,0
Guam,WPR,2018,44,4,0,0,0,0,0
Guatemala,AMR,2017,2610,150,0,6,13,8,1
Guatemala,AMR,2018,2511,209,0,9,13,2,2
Guinea,AFR,2017,7375,546,2,0,0,0,0
Guinea,AFR,2018,7974,542,0,126,126,250,2
Guinea-Bissau,AFR,2017,1750,35,0,0,0,0,0
Guinea-Bissau,AFR,2018,1591,40,0,0,0,,
Guyana,AMR,2017,300,76,0,0,0,0,0
Guyana,AMR,2018,337,86,0,0,0,0,0
Haiti,AMR,2017,9981,971,,,,,
Haiti,AMR,2018,8743,1065,0,,,,
Honduras,AMR,2017,2003,202,0,2,6,4,0
Honduras,AMR,2018,2114,232,0,1,3,4,0
Hungary,EUR,2017,318,36,0,7,4,10,4
Hungary,EUR,2018,327,47,0,8,4,11,3
Iceland,EUR,2017,7,1,0,0,0,,
Iceland,EUR,2018,3,0,0,0,0,,
India,SEA,2017,868769,176450,0,2152,5357,6787,466
India,SEA,2018,825939,208197,0,3232,5182,6832,493
Indonesia,SEA,2017,200946,15970,2467,140,1356,1321,50
Indonesia,SEA,2018,213578,17681,19930,376,1543,1812,80
Iran (Islamic Republic of),EMR,2017,4456,516,0,6,24,12,2
Iran (Islamic Republic of),EMR,2018,4598,479,0,12,9,11,0
Iraq,EMR,2017,2426,301,0,5,95,75,5
Iraq,EMR,2018,2043,244,0,11,37,45,0
Ireland,EUR,2017,103,7,62,2,0,2,0
Ireland,EUR,2018,108,10,69,3,0,3,0
Israel,EUR,2017,129,2,0,7,1,8,1
Israel,EUR,2018,154,6,0,13,0,13,7
Italy,EUR,2017,1644,71,516,45,11,45,5
Italy,EUR,2018,1682,85,453,32,10,37,4
Jamaica,AMR,2017,69,1,0,0,0,0,0
Jamaica,AMR,2018,45,1,1,0,0,0,0
Japan,WPR,2017,10524,551,152,43,9,,
Japan,WPR,2018,9770,484,132,44,11,,
Jordan,EMR,2017,173,8,0,0,0,,
Jordan,EMR,2018,128,10,0,1,0,1,0
Kazakhstan,EUR,2017,6881,3101,0,710,953,,
Kazakhstan,EUR,2018,6719,4055,0,435,1027,,
Kenya,AFR,2017,44365,3506,0,110,81,,
Kenya,AFR,2018,44072,4131,18,29,42,71,0
Kiribati,WPR,2017,182,9,0,0,0,0,0
Kiribati,WPR,2018,158,4,0,0,0,0,0
Kuwait,EMR,2017,373,0,0,4,0,4,0
Kuwait,EMR,2018,333,0,0,2,0,2,0
Kyrgyzstan,EUR,2017,2632,1217,0,392,435,353,127
Kyrgyzstan,EUR,2018,2550,1325,0,523,718,926,119
Lao People's Democratic Republic,WPR,2017,3763,134,0,,,,
Lao People's Democratic Republic,WPR,2018,3849,142,0,9,10,19,2
Latvia,EUR,2017,390,62,0,28,17,45,17
Latvia,EUR,2018,,,,,,,
Lebanon,EMR,2017,318,5,3,5,1,5,2
Lebanon,EMR,2018,323,12,0,3,1,4,1
Lesotho,AFR,2017,3128,602,0,,,,
Lesotho,AFR,2018,3595,728,0,51,5,5,0
Liberia,AFR,2017,3232,150,0,,,,
Liberia,AFR,2018,3084,33,27,,,,
Libya,EMR,2017,,,,,,,
Libya,EMR,2018,,,,,,,
Lithuania,EUR,2017,855,268,0,110,138,248,87
Lithuania,EUR,2018,751,218,0,88,82,170,58
Luxembourg,EUR,2017,0,0,21,0,0,,
Luxembourg,EUR,2018,0,0,29,0,0,,
Madagascar,AFR,2017,20312,1874,0,,24,17,0
Madagascar,AFR,2018,21502,1824,0,0,14,9,0
Malawi,AFR,2017,6360,790,4,1,1,,
Malawi,AFR,2018,5760,804,1,,,,
Malaysia,WPR,2017,14912,1480,0,26,81,65,1
Malaysia,WPR,2018,14748,831,0,68,4,62,1
Maldives,SEA,2017,97,1,0,1,,0,0
Maldives,SEA,2018,105,0,0,2,0,0,0
Mali,AFR,2017,4200,437,0,0,5,2,0
Mali,AFR,2018,4463,431,0,,,,
Malta,EUR,2017,25,0,0,0,0,,
Malta,EUR,2018,27,0,2,0,0,,
Marshall Islands,WPR,2017,67,4,0,0,0,0,0
Marshall Islands,WPR,2018,65,3,0,1,0,0,0
Mauritania,AFR,2017,1292,102,0,0,0,0,0
Mauritania,AFR,2018,1187,51,0,1,3,4,0
Mauritius,AFR,2017,105,5,,1,0,1,0
Mauritius,AFR,2018,118,5,,1,0,1,0
Mexico,AMR,2017,14055,1327,0,12,115,107,2
Mexico,AMR,2018,14486,1691,0,20,84,41,0
Micronesia (Federated States of),WPR,2017,32,0,0,0,0,0,0
Micronesia (Federated States of),WPR,2018,28,0,0,0,0,0,0
Monaco,EUR,2017,,,,,,,
Monaco,EUR,2018,,,,,,,
Mongolia,WPR,2017,1599,418,0,5,8,6,2
Mongolia,WPR,2018,1542,382,0,38,32,16,1
Montenegro,EUR,2017,49,9,0,0,1,1,1
Montenegro,EUR,2018,61,3,0,0,1,1,0
Montserrat,AMR,2017,,,,,,,
Montserrat,AMR,2018,0,0,0,,,0,0
Morocco,EMR,2017,12510,1683,0,4,192,168,16
Morocco,EMR,2018,12681,1775,9,73,79,51,4
Mozambique,AFR,2017,29292,2727,34,84,210,177,18
Mozambique,AFR,2018,31385,2392,41,91,336,367,32
Myanmar,SEA,2017,42489,7118,2,33,25,58,23
Myanmar,SEA,2018,48832,7781,136,65,100,165,27
Namibia,AFR,2017,4807,1278,3,135,98,64,14
Namibia,AFR,2018,4324,1180,0,96,63,124,19
Nauru,WPR,2017,6,0,0,0,0,0,0
Nauru,WPR,2018,5,0,0,0,0,0,0
Nepal,SEA,2017,14748,85,39,22,55,77,13
Nepal,SEA,2018,15734,2668,36,9,20,29,3
Netherlands,EUR,2017,357,16,0,5,1,5,0
Netherlands,EUR,2018,375,20,2,3,0,3,1
New Caledonia,WPR,2017,25,,,1,,,
New Caledonia,WPR,2018,23,1,0,0,0,,
New Zealand,WPR,2017,167,4,0,,,,
New Zealand,WPR,2018,163,7,0,,,,
Nicaragua,AMR,2017,1591,158,0,0,0,0,0
Nicaragua,AMR,2018,1482,167,0,0,0,0,0
Niger,AFR,2017,7961,528,,4,54,,
Niger,AFR,2018,8230,464,,1,40,5,0
Nigeria,AFR,2017,73556,3882,104,,,57,14
Nigeria,AFR,2018,73942,4308,138,353,,,
Niue,WPR,2017,1,0,0,0,0,,
Niue,WPR,2018,0,0,0,0,0,0,0
North Macedonia,EUR,2017,136,19,0,0,1,0,0
